Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Sentiment,Satisfaction_Level
0,340,5,2,7,6,9,2,1,8,Neutral,Low
1,253,6,5,8,6,2,1,2,9,Neutral,Low
2,680,7,7,6,5,4,2,3,1,Neutral,Low
3,806,9,6,7,1,5,9,4,6,Neutral,Medium
4,632,8,10,8,4,6,6,9,9,Neutral,High
5,832,7,2,7,8,3,5,1,4,Neutral,High
6,772,9,3,5,2,10,3,8,1,Neutral,High
7,961,9,8,7,4,4,3,3,10,Neutral,High
8,814,6,5,8,6,4,4,7,9,Neutral,High
9,863,5,9,4,7,9,4,4,5,Neutral,High
10,576,10,3,8,6,6,3,6,9,Neutral,High
11,702,8,4,7,1,2,1,8,8,Neutral,High
12,541,5,4,4,2,2,7,8,1,Neutral,High
13,552,5,6,7,2,7,4,4,2,Neutral,High
14,510,6,7,8,3,4,7,7,6,Neutral,High
15,159,7,7,6,6,3,9,3,1,Neutral,High
16,223,9,10,4,5,7,10,10,6,Neutral,High
17,807,8,3,4,2,2,4,6,1,Neutral,High
18,525,9,9,4,3,5,5,9,2,Neutral,High
19,799,5,6,5,4,2,1,1,7,Neutral,High
20,24,9,10,6,10,2,10,1,9,Neutral,High
21,509,8,2,7,5,2,3,4,4,Neutral,High
22,797,9,10,4,10,9,2,10,7,Neutral,High
23,418,8,8,6,7,9,5,2,8,Neutral,High
24,48,5,5,4,2,1,10,10,9,Neutral,High
25,657,9,5,7,3,2,8,10,6,Neutral,High
26,864,9,8,5,2,3,9,2,8,Neutral,High
27,861,5,6,4,5,4,4,6,6,Neutral,High
28,118,9,10,7,7,4,6,9,1,Neutral,High
29,387,7,3,8,1,6,8,6,8,Neutral,High
30,282,5,6,7,3,8,1,1,9,Neutral,High
31,503,8,6,6,3,3,6,4,10,Neutral,High
32,934,5,6,4,6,10,3,4,10,Neutral,High
33,781,8,3,4,5,1,8,10,5,Neutral,High
34,898,10,10,4,3,5,4,2,1,Neutral,High
35,474,8,3,7,6,4,3,7,7,Neutral,High
36,704,9,9,8,6,8,4,8,5,Neutral,High
37,977,9,5,4,4,6,3,1,9,Neutral,High
38,454,9,6,6,1,10,8,10,7,Neutral,High
39,295,5,7,6,3,1,7,2,9,Neutral,High
40,35,10,6,4,5,6,2,3,1,Neutral,High
41,304,9,9,4,6,5,1,7,2,Neutral,High
42,56,6,9,6,8,9,6,2,4,Neutral,High
43,922,8,10,7,4,5,9,3,5,Neutral,High
44,569,10,7,6,9,2,6,2,5,Neutral,High
45,186,6,4,4,4,6,9,10,10,Neutral,High
46,258,7,2,7,2,7,2,6,10,Neutral,High
47,560,8,7,8,3,8,7,4,8,Neutral,High
48,621,10,4,5,1,5,10,1,10,Neutral,High
49,568,10,7,4,6,10,8,10,8,Neutral,High
50,393,6,9,8,7,5,8,1,4,Neutral,High
51,12,8,10,7,2,8,9,6,6,Neutral,High
52,798,7,2,8,7,10,5,3,5,Neutral,High
53,740,8,10,7,3,2,10,10,1,Neutral,High
54,184,10,9,8,6,4,8,8,9,Neutral,High
